City,total_hospitals,total_beds,average_beds,bed_to_hospital_ratio
Abbeville,2,230,115.0,115.0
Aberdeen,4,630,157.5,157.5
Abilene,3,430,143.33333333333334,143.33333333333334
Abingdon,1,200,200.0,200.0
Abington,1,200,200.0,200.0
Ackerman,1,30,30.0,30.0
Ada,3,430,143.33333333333334,143.33333333333334
Addison,1,200,200.0,200.0
Adel,1,200,200.0,200.0
Adrian,1,200,200.0,200.0
Afton,1,30,30.0,30.0
Aguadilla,1,200,200.0,200.0
Ahoskie,1,200,200.0,200.0
Aibonito,1,200,200.0,200.0
Aiea,1,200,200.0,200.0
Aiken,1,200,200.0,200.0
Ainsworth,1,30,30.0,30.0
Aitkin,1,30,30.0,30.0
Akron,4,700,175.0,175.0
Alabaster,1,200,200.0,200.0
Alameda,1,200,200.0,200.0
Alamogordo,1,200,200.0,200.0
Alamosa,1,200,200.0,200.0
Albany,7,1230,175.71428571428572,175.71428571428572
Albemarle,1,200,200.0,200.0
Albert Lea,1,200,200.0,200.0
Albia,1,30,30.0,30.0
Albion,1,30,30.0,30.0
Albuquerque,5,1000,200.0,200.0
Aledo,1,30,30.0,30.0
Alexander City,1,200,200.0,200.0
Alexandria,6,1200,200.0,200.0
Alexandria Bay,1,30,30.0,30.0
Algona,1,30,30.0,30.0
Alhambra,1,200,200.0,200.0
Alice,1,200,200.0,200.0
Allegan,1,30,30.0,30.0
Allen,2,300,150.0,150.0
Allentown,3,600,200.0,200.0
Alliance,2,230,115.0,115.0
Alma,3,260,86.66666666666667,86.66666666666667
Alpena,1,200,200.0,200.0
Alpine,1,30,30.0,30.0
Alt De Santa,1,200,200.0,200.0
Alton,2,400,200.0,200.0
Altoona,2,400,200.0,200.0
Alturas,1,30,30.0,30.0
Altus,1,200,200.0,200.0
Alva,1,200,200.0,200.0
Amarillo,3,600,200.0,200.0
American Falls,1,30,30.0,30.0
American Fork,1,200,200.0,200.0
Americus,1,200,200.0,200.0
Amery,1,30,30.0,30.0
Ames,1,200,200.0,200.0
Amite,1,30,30.0,30.0
Amory,1,200,200.0,200.0
Amsterdam,1,200,200.0,200.0
Anaconda,1,30,30.0,30.0
Anacortes,1,200,200.0,200.0
Anadarko,1,30,30.0,30.0
Anaheim,4,800,200.0,200.0
Anahuac,1,30,30.0,30.0
Anamosa,1,30,30.0,30.0
Anchorage,3,600,200.0,200.0
Andalusia,1,200,200.0,200.0
Anderson,3,600,200.0,200.0
Andover,1,200,200.0,200.0
Andrews,1,200,200.0,200.0
Angola,1,30,30.0,30.0
Ann Arbor,2,400,200.0,200.0
Anna,1,30,30.0,30.0
Annapolis,1,200,200.0,200.0
Anniston,2,400,200.0,200.0
Anson,1,200,200.0,200.0
Anthony,1,30,30.0,30.0
Antigo,1,30,30.0,30.0
Antioch,2,400,200.0,200.0
Antlers,1,200,200.0,200.0
Apache Junction,1,200,200.0,200.0
Apalachicola,1,30,30.0,30.0
Apple Valley,1,200,200.0,200.0
Appleton,3,430,143.33333333333334,143.33333333333334
Appleton City,1,30,30.0,30.0
Aransas Pass,1,200,200.0,200.0
Arcadia,3,430,143.33333333333334,143.33333333333334
Arcata,1,200,200.0,200.0
Arco,1,30,30.0,30.0
Ardmore,1,200,200.0,200.0
Arecibo,2,400,200.0,200.0
Arkadelphia,1,30,30.0,30.0
Arkansas City,1,200,200.0,200.0
Arlington,9,1630,181.11111111111111,181.11111111111111
Arlington Heights,1,200,200.0,200.0
Armour,1,30,30.0,30.0
Arroyo,1,200,200.0,200.0
Artesia,1,200,200.0,200.0
Ashdown,1,30,30.0,30.0
Asheboro,1,200,200.0,200.0
Asheville,1,200,200.0,200.0
Ashland,7,1060,151.42857142857142,151.42857142857142
Ashland City,1,30,30.0,30.0
Ashley,1,30,30.0,30.0
Ashtabula,1,200,200.0,200.0
Aspen,1,30,30.0,30.0
Aspermont,1,30,30.0,30.0
Astoria,1,30,30.0,30.0
Atchison,1,30,30.0,30.0
Athens,7,1400,200.0,200.0
Athol,1,30,30.0,30.0
Atkinson,1,30,30.0,30.0
Atlanta,9,1600,177.77777777777777,177.77777777777777
Atlantic,1,30,30.0,30.0
Atlantic City,1,200,200.0,200.0
Atlantis,1,200,200.0,200.0
Atmore,1,200,200.0,200.0
Atoka,1,30,30.0,30.0
Attleboro,1,200,200.0,200.0
Atwood,1,30,30.0,30.0
Aubrey,1,200,200.0,200.0
Auburn,5,830,166.0,166.0
Audubon,1,30,30.0,30.0
Augusta,5,1000,200.0,200.0
Aurora,8,990,123.75,123.75
Austell,1,200,200.0,200.0
Austin,11,2100,190.9090909090909,190.9090909090909
Avalon,1,30,30.0,30.0
Aventura,1,200,200.0,200.0
Avon,1,200,200.0,200.0
Ayer,1,200,200.0,200.0
Azle,1,200,200.0,200.0
Bad Axe,1,200,200.0,200.0
Bagley,1,30,30.0,30.0
Bainbridge,1,200,200.0,200.0
Baker,1,30,30.0,30.0
Baker City,1,30,30.0,30.0
Bakersfield,6,1200,200.0,200.0
Baldwin,1,30,30.0,30.0
Baldwin Park,1,200,200.0,200.0
Ballinger,1,30,30.0,30.0
Baltimore,17,3200,188.23529411764707,188.23529411764707
Bandon,1,30,30.0,30.0
Bangor,2,400,200.0,200.0
Banning,1,200,200.0,200.0
Bar Harbor,1,30,30.0,30.0
Baraboo,1,200,200.0,200.0
Barbourville,1,30,30.0,30.0
Bardstown,1,200,200.0,200.0
Barnesville,1,30,30.0,30.0
Barre,1,200,200.0,200.0
Barrington,1,200,200.0,200.0
Barron,1,30,30.0,30.0
Barrow,1,30,30.0,30.0
Barstow,1,200,200.0,200.0
Bartlesville,1,200,200.0,200.0
Bartlett,1,200,200.0,200.0
Bartow,1,200,200.0,200.0
Basin,1,30,30.0,30.0
Bassett,1,30,30.0,30.0
Bastrop,1,200,200.0,200.0
Batavia,2,400,200.0,200.0
Batesville,3,430,143.33333333333334,143.33333333333334
Bath,1,200,200.0,200.0
Baton Rouge,6,1200,200.0,200.0
Batte Mtn,1,30,30.0,30.0
Battle Creek,1,200,200.0,200.0
Baudette,1,30,30.0,30.0
Baxley,1,200,200.0,200.0
Bay City,2,400,200.0,200.0
Bay Minette,1,200,200.0,200.0
Bay Saint Louis,1,200,200.0,200.0
Bay Shore,1,200,200.0,200.0
Bay Springs,1,200,200.0,200.0
Bayamon,4,800,200.0,200.0
Bayonne,1,200,200.0,200.0
Baytown,2,400,200.0,200.0
Bda Nueva,1,200,200.0,200.0
Beachwood,1,200,200.0,200.0
Beatrice,1,30,30.0,30.0
Beaufort,1,200,200.0,200.0
Beaumont,2,400,200.0,200.0
Beaver,3,260,86.66666666666667,86.66666666666667
Beaver Creek,1,200,200.0,200.0
Beaver Dam,1,200,200.0,200.0
Beckley,2,400,200.0,200.0
Bedford,4,460,115.0,115.0
Beeville,1,200,200.0,200.0
Bel Air,1,200,200.0,200.0
Belcourt,1,200,200.0,200.0
Belfast,1,30,30.0,30.0
Bellaire,1,200,200.0,200.0
Belle Glade,1,200,200.0,200.0
Bellefontaine,1,200,200.0,200.0
Belleville,4,630,157.5,157.5
Bellevue,3,600,200.0,200.0
Bellingham,1,200,200.0,200.0
Bellville,1,200,200.0,200.0
Belmond,1,30,30.0,30.0
Beloit,2,230,115.0,115.0
Belton,1,200,200.0,200.0
Bemidji,1,200,200.0,200.0
Bend,1,200,200.0,200.0
Benkelman,1,30,30.0,30.0
Bennington,1,200,200.0,200.0
Bensalem,1,200,200.0,200.0
Benson,2,60,30.0,30.0
Benton,3,260,86.66666666666667,86.66666666666667
Berea,1,30,30.0,30.0
Berkeley,1,200,200.0,200.0
Berkeley Springs,1,30,30.0,30.0
Berlin,4,460,115.0,115.0
Bernice,1,30,30.0,30.0
Berryville,1,30,30.0,30.0
Berwick,1,200,200.0,200.0
Berwyn,1,200,200.0,200.0
Bessemer,1,200,200.0,200.0
Bethany,1,30,30.0,30.0
Bethel,1,200,200.0,200.0
Bethesda,1,200,200.0,200.0
Bethlehem,3,600,200.0,200.0
Bethpage,1,200,200.0,200.0
Bettendorf,1,200,200.0,200.0
Beverly,1,200,200.0,200.0
Biddeford,1,200,200.0,200.0
Big Bear Lake,1,30,30.0,30.0
Big Lake,1,30,30.0,30.0
Big Rapids,1,200,200.0,200.0
Big Sandy,1,30,30.0,30.0
Big Sky,1,200,200.0,200.0
Big Spring,1,200,200.0,200.0
Big Stone Gap,1,200,200.0,200.0
Big Timber,1,30,30.0,30.0
Bigfork,1,30,30.0,30.0
Billings,2,400,200.0,200.0
Biloxi,1,200,200.0,200.0
Binghamton,2,400,200.0,200.0
Birmingham,8,1500,187.5,187.5
Bisbee,1,30,30.0,30.0
Bishop,1,30,30.0,30.0
Bismarck,2,400,200.0,200.0
Black River Falls,1,30,30.0,30.0
Blackfoot,2,230,115.0,115.0
Blacksburg,1,200,200.0,200.0
Blackwell,1,200,200.0,200.0
Blair,1,30,30.0,30.0
Blairsville,1,200,200.0,200.0
Blakely,1,30,30.0,30.0
Blanding,1,30,30.0,30.0
Bloomer,1,30,30.0,30.0
Bloomfield,1,30,30.0,30.0
Bloomington,3,600,200.0,200.0
Bloomsburg,1,200,200.0,200.0
Blountstown,1,30,30.0,30.0
Blue Earth,1,30,30.0,30.0
Blue Hill,1,30,30.0,30.0
Blue Island,1,200,200.0,200.0
Blue Ridge,1,200,200.0,200.0
Blue Springs,1,200,200.0,200.0
Bluefield,1,200,200.0,200.0
Bluffton,2,230,115.0,115.0
Blythe,1,200,200.0,200.0
Blytheville,1,200,200.0,200.0
Boardman,1,200,200.0,200.0
Boaz,1,200,200.0,200.0
Boca Raton,2,400,200.0,200.0
Bogalusa,1,200,200.0,200.0
Boise,3,600,200.0,200.0
Boise City,1,30,30.0,30.0
Bolingbrook,1,200,200.0,200.0
Bolivar,2,400,200.0,200.0
Bonham,1,30,30.0,30.0
Bonifay,1,30,30.0,30.0
Bonne Terre,1,30,30.0,30.0
Bonners Ferry,1,30,30.0,30.0
Boone,2,230,115.0,115.0
Booneville,2,230,115.0,115.0
Boonville,2,230,115.0,115.0
Borger,1,30,30.0,30.0
Boscobel,1,30,30.0,30.0
Bossier City,1,200,200.0,200.0
Boston,11,2000,181.8181818181818,181.8181818181818
Bottineau,1,30,30.0,30.0
Boulder,1,200,200.0,200.0
Boulder City,1,30,30.0,30.0
Bountiful,1,200,200.0,200.0
Bowdle,1,30,30.0,30.0
Bowling Green,3,600,200.0,200.0
Bowman,1,30,30.0,30.0
Boynton Beach,1,200,200.0,200.0
Bozeman,1,200,200.0,200.0
Bradenton,3,600,200.0,200.0
Bradford,1,200,200.0,200.0
Brady,1,30,30.0,30.0
Brainerd,1,200,200.0,200.0
Brandon,2,400,200.0,200.0
Branford,1,200,200.0,200.0
Branson,1,200,200.0,200.0
Brattleboro,1,200,200.0,200.0
Brawley,1,200,200.0,200.0
Brazil,1,30,30.0,30.0
Breaux Bridge,1,30,30.0,30.0
Breckenridge,2,230,115.0,115.0
Breese,1,200,200.0,200.0
Bremen,2,60,30.0,30.0
Bremerton,1,200,200.0,200.0
Brenham,1,200,200.0,200.0
Brevard,1,30,30.0,30.0
Brewster,1,30,30.0,30.0
Brewton,1,200,200.0,200.0
Brick,1,200,200.0,200.0
Bridgeport,4,630,157.5,157.5
Bridgeton,1,200,200.0,200.0
Bridgton,1,30,30.0,30.0
Brigham City,1,200,200.0,200.0
Brighton,4,700,175.0,175.0
Bristol,3,600,200.0,200.0
Bristow,1,200,200.0,200.0
Britt,1,30,30.0,30.0
Britton,1,30,30.0,30.0
Brockton,2,400,200.0,200.0
Broken Arrow,1,200,200.0,200.0
Broken Bow,1,30,30.0,30.0
Bronx,6,1200,200.0,200.0
Bronxville,1,200,200.0,200.0
Brookfield,1,30,30.0,30.0
Brookhaven,1,200,200.0,200.0
Brookings,1,200,200.0,200.0
Brooklyn,12,2400,200.0,200.0
Brooksville,2,400,200.0,200.0
Brookville,1,30,30.0,30.0
Brownfield,1,200,200.0,200.0
Browning,1,200,200.0,200.0
Browns Mills,1,200,200.0,200.0
Brownsville,2,400,200.0,200.0
Brownwood,1,200,200.0,200.0
Brunswick,2,400,200.0,200.0
Brush,1,30,30.0,30.0
Bryan,3,600,200.0,200.0
Bryn Mawr,1,200,200.0,200.0
Bryson City,1,30,30.0,30.0
Buckeye,1,30,30.0,30.0
Buckhannon,1,30,30.0,30.0
Bucyrus,1,30,30.0,30.0
Buffalo,7,1060,151.42857142857142,151.42857142857142
Bullhead City,1,200,200.0,200.0
Bunkie,1,30,30.0,30.0
Burbank,1,200,200.0,200.0
Burgaw,1,30,30.0,30.0
Burien,1,200,200.0,200.0
Burke,1,30,30.0,30.0
Burkesville,1,30,30.0,30.0
Burleson,2,400,200.0,200.0
Burley,1,30,30.0,30.0
Burlingame,1,200,200.0,200.0
Burlington,6,1030,171.66666666666666,171.66666666666666
Burnet,1,30,30.0,30.0
Burns,1,30,30.0,30.0
Burnsville,1,200,200.0,200.0
Butler,3,430,143.33333333333334,143.33333333333334
Butte,1,200,200.0,200.0
Byron,1,30,30.0,30.0
Cadillac,1,200,200.0,200.0
Cadiz,2,60,30.0,30.0
Caguas,2,400,200.0,200.0
Cairo,1,200,200.0,200.0
Calais,1,30,30.0,30.0
Caldwell,3,260,86.66666666666667,86.66666666666667
Calhoun,1,200,200.0,200.0
Calhoun City,1,30,30.0,30.0
Calico Rock,1,30,30.0,30.0
Caliente,1,30,30.0,30.0
Callaway,1,30,30.0,30.0
Callicoon,1,30,30.0,30.0
Camarillo,1,200,200.0,200.0
Cambridge,5,830,166.0,166.0
Camden,6,1030,171.66666666666666,171.66666666666666
Cameron,3,600,200.0,200.0
Camilla,1,30,30.0,30.0
Camp Hill,1,200,200.0,200.0
Campbellsville,1,200,200.0,200.0
Canadian,1,200,200.0,200.0
Canal Winchester,1,200,200.0,200.0
Canandaigua,1,200,200.0,200.0
Canby,1,30,30.0,30.0
Cando,1,30,30.0,30.0
Cannon Falls,1,30,30.0,30.0
Canon City,1,200,200.0,200.0
Canonsburg,1,200,200.0,200.0
Canton,6,1030,171.66666666666666,171.66666666666666
Cape Coral,1,200,200.0,200.0
Cape Girardeau,2,400,200.0,200.0
Cape May Court House,1,200,200.0,200.0
Carbondale,1,200,200.0,200.0
Caribou,1,200,200.0,200.0
Carlinville,1,30,30.0,30.0
Carlisle,1,200,200.0,200.0
Carlsbad,1,200,200.0,200.0
Carmel,4,800,200.0,200.0
Carmichael,1,200,200.0,200.0
Carnegie,1,30,30.0,30.0
Caro,1,30,30.0,30.0
Carolina,1,200,200.0,200.0
Carrington,1,30,30.0,30.0
Carrizo Springs,1,200,200.0,200.0
Carroll,1,200,200.0,200.0
Carrollton,6,690,115.0,115.0
Carson City,2,400,200.0,200.0
Cartersville,1,200,200.0,200.0
Carthage,6,350,58.333333333333336,58.333333333333336
Cary,1,200,200.0,200.0
Casa Grande,1,200,200.0,200.0
Cascade,1,30,30.0,30.0
Casper,3,600,200.0,200.0
Cass City,1,30,30.0,30.0
Cass Lake,1,30,30.0,30.0
Cassville,1,30,30.0,30.0
Castaner,1,200,200.0,200.0
Castle Rock,1,200,200.0,200.0
Castro Valley,1,200,200.0,200.0
Cavalier,1,30,30.0,30.0
Cayey,1,200,200.0,200.0
Cedar City,1,200,200.0,200.0
Cedar Falls,1,200,200.0,200.0
Cedar Park,2,400,200.0,200.0
Cedar Rapids,2,400,200.0,200.0
Cedartown,1,30,30.0,30.0
Cedarville,1,30,30.0,30.0
Celina,1,30,30.0,30.0
Centerville,2,60,30.0,30.0
Central City,1,30,30.0,30.0
Centralia,2,400,200.0,200.0
Centre,1,200,200.0,200.0
Centreville,3,430,143.33333333333334,143.33333333333334
Chadron,1,30,30.0,30.0
Chalmette,1,200,200.0,200.0
Chamberlain,1,30,30.0,30.0
Chambersburg,1,200,200.0,200.0
Chandler,2,400,200.0,200.0
Chanute,1,30,30.0,30.0
Chapel Hill,1,200,200.0,200.0
Chardon,1,200,200.0,200.0
Chariton,1,30,30.0,30.0
Charles City,1,30,30.0,30.0
Charleston,8,1430,178.75,178.75
Charlevoix,1,30,30.0,30.0
Charlotte,6,1030,171.66666666666666,171.66666666666666
Charlottesville,2,400,200.0,200.0
Chatom,1,30,30.0,30.0
Chatsworth,1,200,200.0,200.0
Chattahoochee,1,200,200.0,200.0
Chattanooga,3,600,200.0,200.0
Chelan,1,30,30.0,30.0
Chelsea,1,200,200.0,200.0
Cheraw,1,200,200.0,200.0
Cherokee,2,230,115.0,115.0
Chesapeake,1,200,200.0,200.0
Chester,4,290,72.5,72.5
Chesterfield,1,200,200.0,200.0
Chestertown,1,200,200.0,200.0
Cheverly,1,200,200.0,200.0
Chewelah,1,30,30.0,30.0
Cheyenne,2,230,115.0,115.0
Cheyenne Wells,1,200,200.0,200.0
Chicago,29,5500,189.6551724137931,189.6551724137931
Chickasha,1,200,200.0,200.0
Chico,1,200,200.0,200.0
Childress,1,200,200.0,200.0
Chillicothe,3,260,86.66666666666667,86.66666666666667
Chilton,1,30,30.0,30.0
Chinle,1,200,200.0,200.0
Chino,1,200,200.0,200.0
Chipley,1,30,30.0,30.0
Chippewa Falls,1,200,200.0,200.0
Choteau,1,30,30.0,30.0
Christiansburg,1,200,200.0,200.0
Chula Vista,1,200,200.0,200.0
Church Point,1,30,30.0,30.0
Cincinnati,10,1800,180.0,180.0
Circle,1,30,30.0,30.0
Circleville,1,200,200.0,200.0
Clackamas,1,200,200.0,200.0
Clare,1,200,200.0,200.0
Claremont,1,30,30.0,30.0
Claremore,2,400,200.0,200.0
Clarinda,1,30,30.0,30.0
Clarion,2,230,115.0,115.0
Clarksdale,1,200,200.0,200.0
Clarkston,1,30,30.0,30.0
Clarksville,3,600,200.0,200.0
Claxton,1,200,200.0,200.0
Clay Center,1,30,30.0,30.0
Clayton,2,60,30.0,30.0
Clear Lake,1,30,30.0,30.0
Clearfield,1,200,200.0,200.0
Clearlake,1,30,30.0,30.0
Clearwater,1,200,200.0,200.0
Cleburne,1,200,200.0,200.0
Clermont,1,200,200.0,200.0
Cleveland,12,2030,169.16666666666666,169.16666666666666
Clewiston,1,30,30.0,30.0
Clifton,1,30,30.0,30.0
Clifton Springs,1,200,200.0,200.0
Clinton,10,1490,149.0,149.0
Clinton Township,1,200,200.0,200.0
Clintwood,1,30,30.0,30.0
Cloquet,1,30,30.0,30.0
Clovis,2,400,200.0,200.0
Clyde,1,200,200.0,200.0
Coaldale,1,200,200.0,200.0
Coalgate,1,30,30.0,30.0
Coalinga,1,200,200.0,200.0
Coatesville,1,200,200.0,200.0
Cobleskill,1,200,200.0,200.0
Cochran,1,30,30.0,30.0
Cocoa Beach,1,200,200.0,200.0
Cody,1,30,30.0,30.0
Coeur D'Alene,1,200,200.0,200.0
Coffeyville,1,200,200.0,200.0
Colby,1,30,30.0,30.0
Coldwater,3,430,143.33333333333334,143.33333333333334
Colebrook,1,30,30.0,30.0
Coleman,1,30,30.0,30.0
Colfax,1,30,30.0,30.0
College Station,2,400,200.0,200.0
Collins,1,30,30.0,30.0
Colorado City,1,30,30.0,30.0
Colorado Springs,2,400,200.0,200.0
Colquitt,1,30,30.0,30.0
Colton,1,200,200.0,200.0
Columbia,12,2400,200.0,200.0
Columbia City,1,200,200.0,200.0
Columbus,18,2820,156.66666666666666,156.66666666666666
Colville,1,30,30.0,30.0
Comanche,1,30,30.0,30.0
Commerce,1,200,200.0,200.0
Commerce Township,1,200,200.0,200.0
Concord,4,800,200.0,200.0
Concordia,1,30,30.0,30.0
Conneaut,1,30,30.0,30.0
Connellsville,1,200,200.0,200.0
Connersville,1,200,200.0,200.0
Conrad,1,30,30.0,30.0
Conroe,2,400,200.0,200.0
Conway,3,600,200.0,200.0
Conyers,1,200,200.0,200.0
Cook,1,30,30.0,30.0
Cookeville,1,200,200.0,200.0
Coon Rapids,1,200,200.0,200.0
Cooperstown,2,230,115.0,115.0
Coos Bay,1,200,200.0,200.0
Copperhill,1,30,30.0,30.0
Coquille,1,30,30.0,30.0
Coral Gables,2,400,200.0,200.0
Coral Springs,1,200,200.0,200.0
Corbin,1,200,200.0,200.0
Cordele,1,200,200.0,200.0
Cordell,1,30,30.0,30.0
Cordova,1,30,30.0,30.0
Corinth,1,200,200.0,200.0
Corning,2,230,115.0,115.0
Corona,1,200,200.0,200.0
Coronado,1,200,200.0,200.0
Corpus Christi,4,700,175.0,175.0
Corry,1,30,30.0,30.0
Corsicana,1,200,200.0,200.0
Cortez,1,30,30.0,30.0
Cortland,1,200,200.0,200.0
Cortlandt Manor,1,200,200.0,200.0
Corvallis,1,200,200.0,200.0
Corydon,2,60,30.0,30.0
Coshocton,1,200,200.0,200.0
Costa Mesa,2,400,200.0,200.0
Coto Laurel,1,200,200.0,200.0
Cottage Grove,1,30,30.0,30.0
Cottonwood,2,230,115.0,115.0
Coudersport,1,30,30.0,30.0
Council Bluffs,2,400,200.0,200.0
Council Grove,1,30,30.0,30.0
Coupeville,1,30,30.0,30.0
Coushatta,1,30,30.0,30.0
Covina,1,200,200.0,200.0
Covington,5,1000,200.0,200.0
Cozad,1,30,30.0,30.0
Craig,1,30,30.0,30.0
Crane,1,30,30.0,30.0
Crawfordsville,1,200,200.0,200.0
